metric,direction,pairs,baseline_mean,candidate_mean,improvement_mean,ci95_lower,ci95_upper,wins,ties,losses,scope,candidate,baseline
coverage95_rate,higher,40,0.96546875,0.9639062500000002,-0.0015624999999999973,-0.0040624999999999915,0.0010937500000000044,9,14,17,partition_only,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
mean_delivery_ratio,higher,40,1.0,1.0,0.0,0.0,0.0,0,40,0,partition_only,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
mean_topology_components,lower,40,2.13953125,2.0975,0.042031249999999964,0.020781249999999953,0.06390624999999998,30,0,10,partition_only,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
integrated_loss,lower,40,1.1772521365967537,1.176361603869362,0.0008905327273918074,-0.0021819255706357404,0.004104877320191917,21,0,19,asymmetric_partition,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
decision_loss,lower,40,0.4129906957755674,0.4140437112331826,-0.0010530154576153098,-0.004046940942242081,0.001987912362852534,21,0,19,asymmetric_partition,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
movement_per_step,lower,40,0.9553268010264828,0.9528973657952239,0.0024294352312588807,0.0005213360960579702,0.004296633188365037,28,0,12,asymmetric_partition,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
wrong_mode_action_rate,lower,40,0.0,0.0,0.0,0.0,0.0,0,40,0,asymmetric_partition,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
mean_nees,lower,40,1.7608925605815084,1.7618274163324696,-0.0009348557509613886,-0.01391568844108382,0.011945499020136655,23,0,17,asymmetric_partition,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
coverage95_rate,higher,40,0.9659375000000001,0.965625,-0.0003124999999999961,-0.0021874999999999976,0.0015625,9,21,10,asymmetric_partition,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
mean_delivery_ratio,higher,40,1.0,1.0,0.0,0.0,0.0,0,40,0,asymmetric_partition,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
mean_topology_components,lower,40,1.97984375,1.9990625000000002,-0.01921874999999998,-0.03984374999999996,6.6613381477347835e-18,17,0,23,asymmetric_partition,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
integrated_loss,lower,40,1.1869587082219433,1.176361603869362,0.010597104352581451,0.005354606255489344,0.01589825975564589,30,0,10,asymmetric_partition,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
decision_loss,lower,40,0.4132043209051767,0.4140437112331826,-0.0008393903280059401,-0.005194737848142801,0.0033845038714168754,19,0,21,asymmetric_partition,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
movement_per_step,lower,40,0.9671929841459581,0.9528973657952239,0.014295618350734215,0.010839682722675744,0.017782807791963146,36,0,4,asymmetric_partition,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
wrong_mode_action_rate,lower,40,0.0,0.0,0.0,0.0,0.0,0,40,0,asymmetric_partition,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
mean_nees,lower,40,1.76426106702128,1.7618274163324696,0.002433650688810346,-0.012684780468926373,0.017982354342594428,20,0,20,asymmetric_partition,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
coverage95_rate,higher,40,0.9665624999999999,0.965625,-0.000937500000000005,-0.0034375000000000044,0.0015624999999999888,9,17,14,asymmetric_partition,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
mean_delivery_ratio,higher,40,1.0,1.0,0.0,0.0,0.0,0,40,0,asymmetric_partition,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
mean_topology_components,lower,40,2.01703125,1.9990625000000002,0.017968750000000016,-0.006718749999999918,0.04328515624999995,21,2,17,asymmetric_partition,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
integrated_loss,lower,40,1.1869587082219433,1.1772521365967537,0.009706571625189644,0.004531143104870102,0.014821425356935175,29,0,11,asymmetric_partition,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
decision_loss,lower,40,0.4132043209051767,0.4129906957755674,0.00021362512960936968,-0.003336808439244696,0.0036341227655674927,21,0,19,asymmetric_partition,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
movement_per_step,lower,40,0.9671929841459581,0.9553268010264828,0.011866183119475335,0.008159050430561293,0.015456155481136278,32,0,8,asymmetric_partition,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
wrong_mode_action_rate,lower,40,0.0,0.0,0.0,0.0,0.0,0,40,0,asymmetric_partition,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
mean_nees,lower,40,1.76426106702128,1.7608925605815084,0.0033685064397717345,-0.007686479397783237,0.01436372593917057,23,0,17,asymmetric_partition,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
coverage95_rate,higher,40,0.9665624999999999,0.9659375000000001,-0.0006250000000000089,-0.003281250000000002,0.001874999999999996,13,12,15,asymmetric_partition,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
mean_delivery_ratio,higher,40,1.0,1.0,0.0,0.0,0.0,0,40,0,asymmetric_partition,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
mean_topology_components,lower,40,2.01703125,1.97984375,0.0371875,0.014843749999999987,0.06016015624999993,26,1,13,asymmetric_partition,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
integrated_loss,lower,40,1.1294561629211475,1.1261044384760988,0.0033517244450487647,0.00015483074480363967,0.006739843706899801,24,0,16,failure_partition,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
decision_loss,lower,40,0.3850055181778219,0.3821274520956701,0.0028780660821518117,-0.0006034716080398229,0.006486425166009568,22,0,18,failure_partition,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
movement_per_step,lower,40,0.9305633059291569,0.9299712329755356,0.0005920729536212199,-0.0012449845159197425,0.0022241427864021354,19,0,21,failure_partition,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
wrong_mode_action_rate,lower,40,0.0,0.0,0.0,0.0,0.0,0,40,0,failure_partition,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
mean_nees,lower,40,1.764502579370094,1.7607430290989654,0.0037595502711281923,-0.007502279049080109,0.015190920814282567,22,0,18,failure_partition,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
coverage95_rate,higher,40,0.9649999999999999,0.9650000000000001,-8.326672684688674e-18,-0.0017187499999999994,0.0018749999999999821,6,25,9,failure_partition,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
mean_delivery_ratio,higher,40,1.0,1.0,0.0,0.0,0.0,0,40,0,failure_partition,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
mean_topology_components,lower,40,1.6775000000000002,1.6815625,-0.004062500000000002,-0.017503906250000006,0.010468749999999999,20,2,18,failure_partition,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
integrated_loss,lower,40,1.1376579050423126,1.1261044384760988,0.011553466566213732,0.006663238846085752,0.016728268594501855,28,0,12,failure_partition,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
decision_loss,lower,40,0.38424479651945315,0.3821274520956701,0.002117344423783017,-0.002116865038448125,0.00701629405199929,19,0,21,failure_partition,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
movement_per_step,lower,40,0.941766385653574,0.9299712329755356,0.011795152678038393,0.008976431020362673,0.014681323957404435,35,0,5,failure_partition,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
wrong_mode_action_rate,lower,40,0.0,0.0,0.0,0.0,0.0,0,40,0,failure_partition,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
mean_nees,lower,40,1.7721793871005278,1.7607430290989654,0.011436358001562235,-0.0020723498491639816,0.026597546412544297,22,0,18,failure_partition,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
coverage95_rate,higher,40,0.9646875000000001,0.9650000000000001,0.00031250000000000445,-0.0015624999999999973,0.0023437500000000056,10,20,10,failure_partition,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
mean_delivery_ratio,higher,40,1.0,1.0,0.0,0.0,0.0,0,40,0,failure_partition,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
mean_topology_components,lower,40,1.6853124999999998,1.6815625,0.003749999999999987,-0.012968750000000006,0.020628906249999926,20,2,18,failure_partition,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
integrated_loss,lower,40,1.1376579050423126,1.1294561629211475,0.008201742121164968,0.002447848223534921,0.013839494751679242,28,0,12,failure_partition,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
decision_loss,lower,40,0.38424479651945315,0.3850055181778219,-0.0007607216583687945,-0.006338730294853472,0.004603155739713054,19,0,21,failure_partition,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
movement_per_step,lower,40,0.941766385653574,0.9305633059291569,0.011203079724417173,0.008052950365307137,0.014181769020187984,35,0,5,failure_partition,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
wrong_mode_action_rate,lower,40,0.0,0.0,0.0,0.0,0.0,0,40,0,failure_partition,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
mean_nees,lower,40,1.7721793871005278,1.764502579370094,0.007676807730434043,-0.005264449577311316,0.020609194413386135,21,0,19,failure_partition,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
coverage95_rate,higher,40,0.9646875000000001,0.9649999999999999,0.00031250000000001275,-0.0015624999999999834,0.002031250000000018,12,18,10,failure_partition,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
mean_delivery_ratio,higher,40,1.0,1.0,0.0,0.0,0.0,0,40,0,failure_partition,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
mean_topology_components,lower,40,1.6853124999999998,1.6775000000000002,0.007812499999999989,-0.010628906250000026,0.026097656249999948,22,1,17,failure_partition,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
integrated_loss,lower,40,1.053869722617894,1.0533536232310357,0.0005160993868581515,-0.0015635116541898688,0.002404524419700268,26,0,14,staggered_rejoin,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
decision_loss,lower,40,0.3163779720756068,0.3169453731806312,-0.0005674011050244551,-0.001991485603768768,0.000699287956026802,18,0,22,staggered_rejoin,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
movement_per_step,lower,40,0.9218646881778589,0.9205103125630055,0.0013543756148532565,-9.191729463824498e-05,0.002731232598456836,24,0,16,staggered_rejoin,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
wrong_mode_action_rate,lower,40,0.0,0.0,0.0,0.0,0.0,0,40,0,staggered_rejoin,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
mean_nees,lower,40,1.7710857694060393,1.7690780538744704,0.00200771553156886,-0.005597622628864605,0.011367080998893195,20,0,20,staggered_rejoin,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
coverage95_rate,higher,40,0.9665625,0.9653124999999999,-0.001250000000000004,-0.0025000000000000105,-8.25728374565061e-18,3,28,9,staggered_rejoin,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
mean_delivery_ratio,higher,40,1.0,1.0,0.0,0.0,0.0,0,40,0,staggered_rejoin,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
mean_topology_components,lower,40,1.021875,1.02234375,-0.00046874999999999,-0.0048437499999999965,0.0037500000000000146,16,10,14,staggered_rejoin,flocking_topology_admission_receding_voi,flocking_topology_admission_round_robin
integrated_loss,lower,40,1.0608372034121438,1.0533536232310357,0.007483580181107974,0.003759962764853769,0.01115978734809439,29,0,11,staggered_rejoin,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
decision_loss,lower,40,0.31425392214422454,0.3169453731806312,-0.0026914510364067197,-0.004546735731787984,-0.0009360214011560229,10,0,30,staggered_rejoin,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
movement_per_step,lower,40,0.9332291015848989,0.9205103125630055,0.012718789021893362,0.009487153745032185,0.01597465065642081,37,0,3,staggered_rejoin,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
wrong_mode_action_rate,lower,40,0.0,0.0,0.0,0.0,0.0,0,40,0,staggered_rejoin,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
mean_nees,lower,40,1.7646373776755475,1.7690780538744704,-0.004440676198923077,-0.016727037259497476,0.008638700173161701,14,0,26,staggered_rejoin,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
coverage95_rate,higher,40,0.96421875,0.9653124999999999,0.0010937499999999934,-0.0009375000000000106,0.003437499999999988,9,25,6,staggered_rejoin,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
mean_delivery_ratio,higher,40,1.0,1.0,0.0,0.0,0.0,0,40,0,staggered_rejoin,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
mean_topology_components,lower,40,1.01390625,1.02234375,-0.008437499999999997,-0.014218749999999992,-0.002343749999999994,10,7,23,staggered_rejoin,flocking_topology_admission_receding_voi,flocking_topology_admission_posterior
integrated_loss,lower,40,1.0608372034121438,1.053869722617894,0.006967480794249822,0.0038389167558105426,0.010156673289985887,25,0,15,staggered_rejoin,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
decision_loss,lower,40,0.31425392214422454,0.3163779720756068,-0.0021240499313822645,-0.003423063140193315,-0.0008630085907400391,11,0,29,staggered_rejoin,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
movement_per_step,lower,40,0.9332291015848989,0.9218646881778589,0.011364413407040105,0.00804033634279814,0.014632187180831768,33,0,7,staggered_rejoin,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
wrong_mode_action_rate,lower,40,0.0,0.0,0.0,0.0,0.0,0,40,0,staggered_rejoin,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
mean_nees,lower,40,1.7646373776755475,1.7710857694060393,-0.006448391730491937,-0.015806372793666527,0.003071309803533333,16,0,24,staggered_rejoin,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
coverage95_rate,higher,40,0.96421875,0.9665625,0.0023437499999999973,0.0003125000000000017,0.004531249999999989,14,21,5,staggered_rejoin,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
mean_delivery_ratio,higher,40,1.0,1.0,0.0,0.0,0.0,0,40,0,staggered_rejoin,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
mean_topology_components,lower,40,1.01390625,1.021875,-0.007968750000000007,-0.01328125,-0.002187500000000031,8,7,25,staggered_rejoin,flocking_topology_admission_round_robin,flocking_topology_admission_posterior
