run_id,scenario,arm,seed,position_rmse,mean_nees,coverage95,decision_loss,wrong_action_rate,integrated_loss,alert_rate,false_alert_rate,recovery_steps,movement,delivery_ratio,planner_messages,planner_bytes,maximum_allowed_planner_messages,ownership_violations,safety_interventions,emergency_stops,collisions,mean_runtime_units,topology_disagreement_rate,replay_fingerprint
m13-stable-m10b_decentralized-27122,stable,m10b_decentralized,27122,0.03594372107685621,0.7761682503395594,1.0,0.031098938342891555,0.0,0.2031058806029441,1.0,0.0,0.0,11.467129484003502,0.9924242424242424,192,162836,192,0,0,0,0,1.384,0.0,7df8d724b5b5647743263b77279fb293ef79262860d1a955809f17bed21ee593
m13-stable-m9c_no_trust-27123,stable,m9c_no_trust,27123,0.04423378190364021,1.8752916362951135,0.9416666666666667,0.037363497118551615,0.0,0.20972222305094043,1.0,0.0,0.0,11.490581728825921,0.9916666666666667,0,0,0,0,0,0,0,1.32,0.0,30e252dd0e9a635cad9b7d157240114f00970c00dfb9cccbd7490386271b0793
m13-stable-m10a5_centralized-27123,stable,m10a5_centralized,27123,0.04423378190364021,1.8752916362951135,0.9416666666666667,0.037363497118551615,0.0,0.20972222305094043,1.0,0.0,0.0,11.490581728825921,0.9916666666666667,0,0,0,0,0,0,0,1.32,0.0,57f4b8b10ba73bc2b9df0c99a56b82615f7205efd39f4bff9b83f133a8694833
m13-stable-m10b_decentralized_no_negotiation-27123,stable,m10b_decentralized_no_negotiation,27123,0.028544789082355946,0.6490721147037734,1.0,0.024745938755343196,0.0,0.3293772121166069,1.0,0.0,0.0,20.308751557417583,0.9924242424242424,192,165316,192,0,0,0,0,1.384,0.0,a5b24fc101f32c2f386b12a68ed851954f0209d653de1187358b41725e00a791
m13-stable-m10b_decentralized-27123,stable,m10b_decentralized,27123,0.039284705799243244,1.0364174963117132,1.0,0.03489956527361293,0.0,0.20672489752577855,1.0,0.0,0.0,11.455022150144375,0.9924242424242424,192,162792,192,0,0,0,0,1.384,0.0,1b1841d603bcd6664dadbcfe1ec369a16c7d859f43effdb2c2aab2f445067f45
m13-stable-m9c_no_trust-27124,stable,m9c_no_trust,27124,0.04070521559294078,1.6481684167168718,0.95,0.03505240128985924,0.0,0.2080316848048301,1.0,0.0,0.0,11.531952234331392,0.9916666666666667,0,0,0,0,0,0,0,1.32,0.0,b4ed1a188a6c2bca8c45e0b018ebac2ee9bb78a9ea19a6635a784e7e196bf747
m13-stable-m10a5_centralized-27124,stable,m10a5_centralized,27124,0.04070521559294078,1.6481684167168718,0.95,0.03505240128985924,0.0,0.2080316848048301,1.0,0.0,0.0,11.531952234331392,0.9916666666666667,0,0,0,0,0,0,0,1.32,0.0,ac70748d2078611423c96d98ac14da9184a217cfc0857636e6aa55573ada7ed4
m13-stable-m10b_decentralized_no_negotiation-27124,stable,m10b_decentralized_no_negotiation,27124,0.027461529444472513,0.5983918628066804,1.0,0.023980521463172325,0.0,0.3290328693675869,1.0,0.0,0.0,20.33682319362764,0.9924242424242424,192,165364,192,0,0,0,0,1.384,0.0,0f6ffc7caee676dafae84ae570951a2aa8d904d1fa2898617a1d18e2c7bf572c
m13-stable-m10b_decentralized-27124,stable,m10b_decentralized,27124,0.03479926934983744,0.8078868814545577,1.0,0.031771667605119354,0.0,0.20428800973289626,1.0,0.0,0.0,11.501089475185129,0.9924242424242424,192,162756,192,0,0,0,0,1.384,0.0,62496327f7934df04a2065207a405d7b20c9482081fb77292023c7d632320e5f
m13-stable-m9c_no_trust-27125,stable,m9c_no_trust,27125,0.04024037316854836,1.402065433919266,1.0,0.0349420986740361,0.0,0.20661718636670448,1.0,0.0,0.0,11.445005846177892,0.9916666666666667,0,0,0,0,0,0,0,1.32,0.0,52ebb38d130ac114737baa372b0cc487f49189adf89b2e89df429f39c9306421
m13-stable-m10a5_centralized-27125,stable,m10a5_centralized,27125,0.04024037316854836,1.402065433919266,1.0,0.0349420986740361,0.0,0.20661718636670448,1.0,0.0,0.0,11.445005846177892,0.9916666666666667,0,0,0,0,0,0,0,1.32,0.0,acbcaab14e980fe8356e0f4cddc5edf07461f91305d7c6666db465a22bdc8540
m13-stable-m10b_decentralized_no_negotiation-27125,stable,m10b_decentralized_no_negotiation,27125,0.029174102436605856,0.7291085464984207,1.0,0.026748058338778684,0.0,0.3313400645439554,1.0,0.0,0.0,20.30613374701178,0.9924242424242424,192,165456,192,0,0,0,0,1.384,0.0,00b278b8a17fbb50a6866c4a5ba67cffa45d8d2846da5902a8a82bb659adff24
m13-stable-m10b_decentralized-27125,stable,m10b_decentralized,27125,0.03512304617844258,0.8334386023721824,1.0,0.03167183783744931,0.0,0.2033923926941588,1.0,0.0,0.0,11.4480369904473,0.9924242424242424,192,162764,192,0,0,0,0,1.384,0.0,e1413e487e1490f8f5496f5f5950043cb905ea356e1631c327fa54b4cb565233
m13-stable-m9c_no_trust-27126,stable,m9c_no_trust,27126,0.04171900701171784,1.6259788533356831,0.9583333333333334,0.035140899998562056,0.0,0.2081226839054116,1.0,0.0,0.0,11.532118927123303,0.9916666666666667,0,0,0,0,0,0,0,1.32,0.0,31637a4450e95a75ee1aca4c092c8c1c1ad3bd8db31d68d51f1293a7f58e039b
m13-stable-m10a5_centralized-27126,stable,m10a5_centralized,27126,0.04171900701171784,1.6259788533356831,0.9583333333333334,0.035140899998562056,0.0,0.2081226839054116,1.0,0.0,0.0,11.532118927123303,0.9916666666666667,0,0,0,0,0,0,0,1.32,0.0,98a09a5a141608d7e1cf457f7406d72d60ac862e2a8213243df3e22266ce0ea6
m13-stable-m10b_decentralized_no_negotiation-27126,stable,m10b_decentralized_no_negotiation,27126,0.02306150985427729,0.3591772865668832,1.0,0.0191718215158122,0.0,0.324217555943345,1.0,0.0,0.0,20.336382295168853,0.9924242424242424,192,165268,192,0,0,0,0,1.384,0.0,3db42d2584d6a43b6d7e6fa3abfe6a40fc090f3a6ef5da80b10350b91578b7ac
m13-stable-m10b_decentralized-27126,stable,m10b_decentralized,27126,0.026234052141410277,0.3988497079391331,1.0,0.023060674576487736,0.0,0.1959415696704503,1.0,0.0,0.0,11.52539300626417,0.9924242424242424,192,162886,192,0,0,0,0,1.384,0.0,4e10591e7ec0753554a178fdafd74af771a20b3777e7dde052d7619957719aa5
m13-stable-m9c_no_trust-27127,stable,m9c_no_trust,27127,0.041252955325031336,1.6284306067986658,1.0,0.03744087228106839,0.0,0.20866867245020837,1.0,0.0,0.0,11.415186677942666,0.9916666666666667,0,0,0,0,0,0,0,1.32,0.0,f7d01308e6e966c47369ab7389498e94e6b898faf35d908881d091001a38b20c
m13-stable-m10a5_centralized-27127,stable,m10a5_centralized,27127,0.041252955325031336,1.6284306067986658,1.0,0.03744087228106839,0.0,0.20866867245020837,1.0,0.0,0.0,11.415186677942666,0.9916666666666667,0,0,0,0,0,0,0,1.32,0.0,1113856b0d829f0c7bf559c8dd7f963944701f864a8bc64b37f0593b54b3beb1
m13-stable-m10b_decentralized_no_negotiation-27127,stable,m10b_decentralized_no_negotiation,27127,0.032029935520522836,0.7140750186125914,1.0,0.026421592769973464,0.0,0.3310353909074952,1.0,0.0,0.0,20.307586542501447,0.9924242424242424,192,165400,192,0,0,0,0,1.384,0.0,f8d5a52ad80235fad4d078c151e0bbb01436e3f28a072f554909ebbd6f464411
m13-stable-m10b_decentralized-27127,stable,m10b_decentralized,27127,0.037139735710135485,0.8329080327796446,1.0,0.03262770110610589,0.0,0.20431501128309015,1.0,0.0,0.0,11.44582067846562,0.9924242424242424,192,162774,192,0,0,0,0,1.384,0.0,70837aa2db93342d2a3b37ea8e4a732acf08558ce8e6af9c37ce4c17b0080a87
m13-stable-m9c_no_trust-27128,stable,m9c_no_trust,27128,0.04892863146745426,2.070586515158855,0.9333333333333333,0.04337086441973199,0.0,0.21486665737449898,1.0,0.0,0.0,11.433052863651133,0.9916666666666667,0,0,0,0,0,0,0,1.32,0.0,c246054af55bbb180b44bef21c02f3e005b608ffee49a4ccd14990ce52381b06
m13-stable-m10a5_centralized-27128,stable,m10a5_centralized,27128,0.04892863146745426,2.070586515158855,0.9333333333333333,0.04337086441973199,0.0,0.21486665737449898,1.0,0.0,0.0,11.433052863651133,0.9916666666666667,0,0,0,0,0,0,0,1.32,0.0,9c58456ca021c693ef616607269c46455f14475bfc640a6cb757edf42a6c0d7f
m13-stable-m10b_decentralized_no_negotiation-27128,stable,m10b_decentralized_no_negotiation,27128,0.028901959497566253,0.7279526376241066,1.0,0.025723543831135388,0.0,0.330312453954815,1.0,0.0,0.0,20.30592734157864,0.9924242424242424,192,165428,192,0,0,0,0,1.384,0.0,0b6759a7d7ae8f1252e2437d789aed1e78061fc3025a531a85d72569ca2cfa46
m13-stable-m10b_decentralized-27128,stable,m10b_decentralized,27128,0.035215283649095784,0.8180764629734453,1.0,0.03093179968175227,0.0,0.20277897745585913,1.0,0.0,0.0,11.45647851827379,0.9924242424242424,192,162800,192,0,0,0,0,1.384,0.0,d3455e3fd4b35aabb6eae2ebbed723ab1be58cc7d536058493ccd03862060f29
m13-stable-m9c_no_trust-27129,stable,m9c_no_trust,27129,0.05183813711388268,1.9703332774277877,0.9666666666666667,0.04299650863280844,0.0,0.21648206232376188,1.0,0.0,0.0,11.565703579396898,0.9916666666666667,0,0,0,0,0,0,0,1.32,0.0,6a8c0f7487a9dbac8ebe8a18940dc639a7a4b738082cbcca0e71ed6d440157dc
m13-stable-m10a5_centralized-27129,stable,m10a5_centralized,27129,0.05183813711388268,1.9703332774277877,0.9666666666666667,0.04299650863280844,0.0,0.21648206232376188,1.0,0.0,0.0,11.565703579396898,0.9916666666666667,0,0,0,0,0,0,0,1.32,0.0,b27d764708bfdc025d349fc2c7267e3acf11dd165a83b60e6aaa8f11d5c42ac5
m13-stable-m10b_decentralized_no_negotiation-27129,stable,m10b_decentralized_no_negotiation,27129,0.028194893696572687,0.6341846186719837,1.0,0.024046964458074853,0.0,0.32885262637195506,1.0,0.0,0.0,20.320377460925346,0.9924242424242424,192,165392,192,0,0,0,0,1.384,0.0,d6ce533182fb3a1ea93136e640f58b4cb23a52fb89ad580bf2f6856e52a7c6b1
m13-stable-m10b_decentralized-27129,stable,m10b_decentralized,27129,0.033323225013712855,0.7417787023264792,1.0,0.02989005970094565,0.0,0.20239844050959999,1.0,0.0,0.0,11.500558720576956,0.9924242424242424,192,162758,192,0,0,0,0,1.384,0.0,0bc96d2fd67c175d51d65f5e232a5f57d1f90edfbf0a185c6bb3c23377e329e3
m13-stable-m9c_no_trust-27130,stable,m9c_no_trust,27130,0.039183449564901045,1.518624057661701,0.95,0.0338517412104978,0.0,0.2061845231642948,1.0,0.0,0.0,11.488852130253134,0.9916666666666667,0,0,0,0,0,0,0,1.32,0.0,951c17d0b007dbe41cf988455d6b1f165be796830e70ade12295e5edbe73d1d9
m13-stable-m10a5_centralized-27130,stable,m10a5_centralized,27130,0.039183449564901045,1.518624057661701,0.95,0.0338517412104978,0.0,0.2061845231642948,1.0,0.0,0.0,11.488852130253134,0.9916666666666667,0,0,0,0,0,0,0,1.32,0.0,df5cf60da63e852424270fe87b653e9d9ca9c9a18e47875e59a2edc2670085d6
m13-stable-m10b_decentralized_no_negotiation-27130,stable,m10b_decentralized_no_negotiation,27130,0.032172801151135945,0.7489301750644051,1.0,0.02685780645502282,0.0,0.3318166417060191,1.0,0.0,0.0,20.330589016733086,0.9924242424242424,192,165540,192,0,0,0,0,1.384,0.0,363c97801c8f014521cc4c0ed9778e3b84ea7a1654f5621aee3d15636b26525e
m13-stable-m10b_decentralized-27130,stable,m10b_decentralized,27130,0.03942167230383644,0.9770884941916284,1.0,0.03514863060860947,0.0,0.20736354333314982,1.0,0.0,0.0,11.480994181636024,0.9924242424242424,192,162788,192,0,0,0,0,1.384,0.0,3a779d740391c8688d3754e9816a0df60e4f934d170d9e8497d277d643a650dc
m13-stable-m9c_no_trust-27131,stable,m9c_no_trust,27131,0.04608778423338735,1.6344840233143396,0.9666666666666667,0.037136291518223695,0.0,0.20790830332488136,1.0,0.0,0.0,11.38480078711051,0.9916666666666667,0,0,0,0,0,0,0,1.32,0.0,98e91a7d99d8ad3fd7c38fd3387e7068c20661ed4e84e791ab466ce40bbef954
m13-stable-m10a5_centralized-27131,stable,m10a5_centralized,27131,0.04608778423338735,1.6344840233143396,0.9666666666666667,0.037136291518223695,0.0,0.20790830332488136,1.0,0.0,0.0,11.38480078711051,0.9916666666666667,0,0,0,0,0,0,0,1.32,0.0,b3cfcacfcef2b1818932d4bc2245695fd16159bdb5714f737b183c6847d3799e
m13-stable-m10b_decentralized_no_negotiation-27131,stable,m10b_decentralized_no_negotiation,27131,0.032942763574925794,0.5902002892143358,1.0,0.02506861710229292,0.0,0.3294045551758349,1.0,0.0,0.0,20.289062538236134,0.9924242424242424,192,165440,192,0,0,0,0,1.384,0.0,3d677d804102ae4320a76ee02cc78c3ba8326ada694f8af772e03252c8a9d48a
