algorithm,seed,position_rmse,best_hypothesis_rmse,mean_truth_consistent_flock_weight,decision_loss,mean_decision_base_error,selection_rate,mixture_rate,abstention_rate,investigation_rate,wrong_mode_rate,wrong_mode_action_rate,mean_output_confidence,ambiguity_resolution_steps,agent_position_rmse,mean_nees,coverage95_rate,mean_nis,information_gain,spatial_diversity,estimate_disagreement,mean_operational_agents,mean_delivery_ratio,mean_message_age,partition_active_rate,recovery_steps,messages,bytes_sent,mean_momentum,mean_momentum_change_score,mean_momentum_corroborating_agents,mean_momentum_biased_agents,momentum_fallback_rate,momentum_change_events,mean_hypothesis_flocks,multiflock_rate,mean_primary_flock_size,mean_primary_flock_weight,mean_alternative_flock_weight,mean_quarantined_agents,quarantine_rate,mean_suspected_bias_agents,mean_bias_estimate_norm,movement_distance,scenario,rho,rho_label,tau,scenario_timescale,runtime_seconds,tau_to_timescale
flocking_fixed_momentum,8010,0.6558260184543124,0.6558260184543124,1.0,0.5832246586387729,0.5832246586387729,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.6840905221879697,1.6391932977324095,0.9734375,1.7279628596147973,3.5966579768743814,4.890623888266967,0.5335731457623408,8.0,1.0,0.0,0.0,,3840,737280,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,133.58732592866895,no_change,0.0,rho_0_00,0.0,160.0,6.453953624935821,0.0
flocking_fixed_momentum,8011,0.6397684571285298,0.6397684571285298,1.0,0.5800015164534317,0.5800015164534317,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.655151959952392,1.4750497643107543,0.98515625,1.6202814592721744,3.562089082995763,4.9001675898501365,0.5031561272430408,8.0,1.0,0.0,0.0,,3840,737280,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,152.34478414770996,no_change,0.0,rho_0_00,0.0,160.0,6.486123166978359,0.0
flocking_fixed_momentum,8012,0.7207777859409974,0.7207777859409974,1.0,0.6417175220659818,0.6417175220659818,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.7100572223243675,1.6466082371392026,0.9703125,1.6912783443736639,3.4947631473924945,4.879516131629832,0.5381120898925585,8.0,1.0,0.0,0.0,,3840,737280,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,163.18568768427795,no_change,0.0,rho_0_00,0.0,160.0,6.161999749951065,0.0
flocking_fixed_momentum,8013,0.6445241705858427,0.6445241705858427,1.0,0.563220481352714,0.563220481352714,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.6812017569290659,1.5125058241293579,0.978125,1.6785527589697082,3.500355509760947,4.873944694656278,0.5617430600591782,8.0,1.0,0.0,0.0,,3840,737280,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,149.1912946573372,no_change,0.0,rho_0_00,0.0,160.0,6.233556207967922,0.0
flocking_fixed_momentum,8014,0.6922648523732914,0.6922648523732914,1.0,0.6159560526907959,0.6159560526907959,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.7246288418483681,1.4362452406007442,0.9859375,1.5960153054812865,3.328145328754374,4.871146004977519,0.6179311306284834,8.0,1.0,0.0,0.0,,3840,737280,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,201.98752676263726,no_change,0.0,rho_0_00,0.0,160.0,6.439267458859831,0.0
flocking_fixed_momentum,8015,0.6651199247668785,0.6651199247668785,1.0,0.6001265775493466,0.6001265775493466,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.689353585092196,1.6780243502383905,0.98515625,1.7837050412897724,3.5877152631001294,4.905236311618398,0.46157954968786485,8.0,1.0,0.0,0.0,,3840,737280,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,143.64170188815683,no_change,0.0,rho_0_00,0.0,160.0,6.844288584077731,0.0
flocking_fixed_momentum,8016,0.6612561678649933,0.6612561678649933,1.0,0.5681136870734317,0.5681136870734317,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.6978453923719395,1.713554981031437,0.9640625,1.756250825280922,3.6172453919119065,4.891429388368035,0.5384390593337368,8.0,1.0,0.0,0.0,,3840,737280,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,130.24764550438636,no_change,0.0,rho_0_00,0.0,160.0,6.501510540954769,0.0
flocking_fixed_momentum,8017,0.6438233333972864,0.6438233333972864,1.0,0.5667607863264559,0.5667607863264559,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.6653407287770782,1.557139257403958,0.9828125,1.5821997811811792,3.5862931203690116,4.87790757613861,0.49270440811470484,8.0,1.0,0.0,0.0,,3840,737280,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,143.15232346617978,no_change,0.0,rho_0_00,0.0,160.0,6.401507667033002,0.0
flocking_fixed_momentum,8018,0.7155963778678928,0.7155963778678928,1.0,0.6352455634850771,0.6352455634850771,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.7206668247631386,1.6141035515522497,0.9734375,1.7132099571146675,3.472940406575077,4.834938259133229,0.5997726531953153,8.0,1.0,0.0,0.0,,3840,737280,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,162.12795447029288,no_change,0.0,rho_0_00,0.0,160.0,6.648328457958996,0.0
flocking_fixed_momentum,8019,0.7649954395904447,0.7649954395904447,1.0,0.6798689679776624,0.6798689679776624,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.7623185404083667,1.7471536022003717,0.959375,1.7406026803914052,3.410272673609922,4.877781396099517,0.5752612022421146,8.0,1.0,0.0,0.0,,3840,737280,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,184.8411869113327,no_change,0.0,rho_0_00,0.0,160.0,6.758603624999523,0.0
