scenario,rho,rho_label,seed,rmse_improvement,diversity_change,disagreement_change,information_change,movement_change
gradual_10,0.25,rho_0_25,8015,0.02731578795384415,-0.04614186213336957,-0.02105638966211365,0.11130781683425539,-13.460023620682165
gradual_10,0.25,rho_0_25,8016,0.003114979023402187,-0.09749230225322059,-0.031598181296549566,0.10809738615730424,-14.38687925715658
gradual_10,0.25,rho_0_25,8017,0.04254821083101612,-0.044984058044737374,0.029786169906704907,0.11812498308450436,-14.190089356656387
gradual_10,0.25,rho_0_25,8018,0.08925708113913944,-0.02052396136108925,-0.03781256060478333,0.12315791037420798,-11.344657654003129
gradual_10,0.25,rho_0_25,8019,0.0347704434582633,-0.0726435859782173,-0.012168908386847033,0.14431915845343157,-12.300138350043056
gradual_10,0.25,rho_0_25,8020,0.04020667500724062,-0.027176245474125338,0.026922273184291412,0.09696148567244744,-12.64716778260879
gradual_10,0.25,rho_0_25,8021,0.035421737748298376,-0.11089069667109985,-0.01286868830477117,0.09861530257659101,-17.85083459862446
gradual_10,0.25,rho_0_25,8022,0.11974075820410501,-0.06369553716662057,-0.027825776669452296,0.1285061951150932,-3.8109350241458344
gradual_10,0.25,rho_0_25,8023,0.04316201948341125,-0.0869444559118211,0.0010701467213422022,0.12732593615800925,-16.36948955654728
gradual_10,0.25,rho_0_25,8024,0.05332324330014837,-0.06312585014759975,-0.020189726285690046,0.12710724695685593,-11.95496035164652
gradual_10,0.25,rho_0_25,8025,0.02739964668024708,-0.04671382768481891,-0.0220155049808598,0.10579257048559265,-2.8388265698962982
gradual_10,0.25,rho_0_25,8026,0.05975756925353104,0.013900626941170557,0.00742281846226478,0.14938405966219337,-7.126769604653248
gradual_10,0.25,rho_0_25,8027,0.10560001687582588,-0.0961154864128071,-0.01983543057518833,0.14257825228256094,-14.75404390792977
gradual_10,0.25,rho_0_25,8028,0.06927614334484455,-0.07343211608318256,-0.033619445776570056,0.10391067407934651,-24.56121968656808
gradual_10,0.25,rho_0_25,8029,0.08911509991354238,-0.01619189955539646,-0.03349856089869285,0.112330337774174,-3.5154333749573254
gradual_10,0.5,rho_0_50,8000,0.01694397419825666,-0.061342526368464156,-0.0680402236848705,0.23069429224368543,-10.744162667322684
gradual_10,0.5,rho_0_50,8001,-0.037645603961331764,-0.11423894392278378,-0.01457474645622625,0.199051708096444,-12.484675543206919
gradual_10,0.5,rho_0_50,8002,0.10535919355141399,-0.08696650596636957,-0.07706544149331962,0.29523681442156535,1.7337279079463315
gradual_10,0.5,rho_0_50,8003,0.05124427287142197,-0.12626223902118028,-0.021971628862954673,0.2418018051780897,-5.07961319689241
gradual_10,0.5,rho_0_50,8004,0.060830227606940124,-0.07158840612722361,-0.07710830355865289,0.1104459748499309,-21.015880477265114
gradual_10,0.5,rho_0_50,8005,0.05028342300517419,-0.07960894097243898,-0.10911142805868446,0.27308802969767365,-5.011208407745357
gradual_10,0.5,rho_0_50,8006,0.047049252516517814,-0.11258550786735011,-0.07408361402256303,0.23113717230690378,-9.779612890291673
gradual_10,0.5,rho_0_50,8007,0.07756441012924908,-0.11567156238973819,-0.05444585643848354,0.22089178728843262,-11.833156836634174
gradual_10,0.5,rho_0_50,8008,0.1156727113852124,-0.10786290269631404,-0.07834774971557668,0.24227677191706087,-9.62536980783807
gradual_10,0.5,rho_0_50,8009,0.058743079666481735,-0.08359293267921597,-0.06851973139842016,0.2505351131565221,0.9800293497274879
gradual_10,0.5,rho_0_50,8010,-0.006276844484183752,-0.09784048859076044,-0.09777691607681538,0.18362346900775606,-1.8852428943003758
gradual_10,0.5,rho_0_50,8011,0.030914753988075416,-0.09584578905158736,-0.08518158033465373,0.21274773695933646,-11.926070494603636
gradual_10,0.5,rho_0_50,8012,0.14738955491568706,-0.07780684461331067,-0.043660579291788126,0.2686971034648651,-3.0759505447605022
gradual_10,0.5,rho_0_50,8013,0.09072709072432505,-0.09597507776897451,-0.020257168752139343,0.2571801420155282,-6.887323485160209
gradual_10,0.5,rho_0_50,8014,-0.01477137543515139,-0.12284260138755254,-0.08401279605874967,0.28996021056316623,1.3617059907806777
gradual_10,0.5,rho_0_50,8015,0.07449851194870727,-0.10773850818458097,-0.03476270799489112,0.21247286012431088,-9.914775758933814
gradual_10,0.5,rho_0_50,8016,0.12176172485412895,-0.09490905818756978,-0.1179019016431434,0.21833140695478193,-10.834902735861107
gradual_10,0.5,rho_0_50,8017,0.153661778273666,-0.08748213368177016,-0.10084922887792153,0.23134669149315812,-10.62157051581653
gradual_10,0.5,rho_0_50,8018,0.09872240871843485,-0.07119610917392549,-0.057425263858904896,0.2390254723646139,-7.787391940537901
gradual_10,0.5,rho_0_50,8019,0.034214947630663795,-0.09416670321075493,-0.02164596190530954,0.264659250778708,-9.359069612164859
gradual_10,0.5,rho_0_50,8020,0.07286011370233803,-0.061772405580097,-0.014072934513197577,0.17343310280783575,-8.802904079767444
gradual_10,0.5,rho_0_50,8021,-0.00933283615252678,-0.13186250201060545,-0.013878180691863307,0.17626257014613467,-13.35188908281907
gradual_10,0.5,rho_0_50,8022,0.08718112028733394,-0.11607673729459744,-0.06809911381466205,0.2461838972684598,0.21024441996851806
